Player,Team,Team_url,Years,Total Goals,Total_Minutes_Played
Andrew Wiggins,Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/draft.html,6,454,16242
Jabari Parker,Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/draft.html,6,285,8258
Joel Embiid,Philadephia 76ers,https://www.basketball-reference.com/teams/PHI/draft.html,4,209,6358
Aaron Gordon,Orlando Magic,https://www.basketball-reference.com/teams/ORL/draft.html,6,403,11517
Dante Exum,Utah Jazz,https://www.basketball-reference.com/teams/UTA/draft.html,5,239,4429
Marcus Smart,Boston Celtics,https://www.basketball-reference.com/teams/BOS/draft.html,6,401,11607
Julius Randle,Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/draft.html,6,375,10934
Nik Stauskas,Sacramento Kings,https://www.basketball-reference.com/teams/SAC/draft.html,5,335,6662
Noah Vonleh,Charlotte Hornets,https://www.basketball-reference.com/teams/CHA/draft.html,6,335,5672
Elfrid Payton,Philadephia 76ers,https://www.basketball-reference.com/teams/PHI/draft.html,6,387,11350
Doug McDermott,Denver Nuggets,https://www.basketball-reference.com/teams/DEN/draft.html,6,410,8170
Dario _ari_,Orlando Magic,https://www.basketball-reference.com/teams/ORL/draft.html,4,306,8094
Zach LaVine,Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/draft.html,6,353,10857
T.J. Warren,Phoenix Suns,https://www.basketball-reference.com/teams/PHO/draft.html,6,328,9436
Adreian Payne,Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/draft.html,4,107,1403
Jusuf Nurki_,Chicago Bulls,https://www.basketball-reference.com/teams/CHI/draft.html,6,318,7356
James Young,Boston Celtics,https://www.basketball-reference.com/teams/BOS/draft.html,4,95,812
Tyler Ennis,Phoenix Suns,https://www.basketball-reference.com/teams/PHO/draft.html,4,186,2336
Gary Harris,Chicago Bulls,https://www.basketball-reference.com/teams/CHI/draft.html,6,368,10663
Bruno Caboclo,Toronto Raptors,https://www.basketball-reference.com/teams/TOR/draft.html,6,99,1257
Mitch McGary,Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/draft.html,2,52,557
Jordan Adams,Memphis Grizzlies,https://www.basketball-reference.com/teams/MEM/draft.html,2,32,263
Rodney Hood,Utah Jazz,https://www.basketball-reference.com/teams/UTA/draft.html,6,341,9326
Shabazz Napier,Charlotte Hornets,https://www.basketball-reference.com/teams/CHA/draft.html,6,345,5986
Clint Capela,Houston Rockets,https://www.basketball-reference.com/teams/HOU/draft.html,6,334,8674
P.J. Hairston,Miami Heat,https://www.basketball-reference.com/teams/MIA/draft.html,2,111,2000
Bogdan Bogdanovi_,Phoenix Suns,https://www.basketball-reference.com/teams/PHO/draft.html,3,209,5888
C.J. Wilcox,Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/draft.html,3,66,376
Josh Huestis,Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/draft.html,3,76,1068
Kyle Anderson,San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/draft.html,6,367,7212
Damien Inglis,Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/draft.html,1,20,156
K.J. McDaniels,Philadephia 76ers,https://www.basketball-reference.com/teams/PHI/draft.html,3,148,2092
Joe Harris,Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/draft.html,6,331,8037
Cleanthony Early,New York Knicks,https://www.basketball-reference.com/teams/NYK/draft.html,2,56,801
Jarnell Stokes,Utah Jazz,https://www.basketball-reference.com/teams/UTA/draft.html,3,28,151
Johnny O'Bryant,Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/draft.html,4,147,1684
Spencer Dinwiddie,Detroit Pistons,https://www.basketball-reference.com/teams/DET/draft.html,6,317,8162
Jerami Grant,Philadephia 76ers,https://www.basketball-reference.com/teams/PHI/draft.html,6,454,11125
Glenn Robinson,Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/draft.html,6,281,4930
Nikola Joki_,Denver Nuggets,https://www.basketball-reference.com/teams/DEN/draft.html,5,381,11054
Nick Johnson,Houston Rockets,https://www.basketball-reference.com/teams/HOU/draft.html,1,28,262
Edy Tavares,Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/draft.html,2,13,101
Markel Brown,Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/draft.html,3,113,1794
Dwight Powell,Charlotte Hornets,https://www.basketball-reference.com/teams/CHA/draft.html,6,371,6956
Jordan Clarkson,Washington Wizards,https://www.basketball-reference.com/teams/WAS/draft.html,6,453,12232
Russ Smith,Philadephia 76ers,https://www.basketball-reference.com/teams/PHI/draft.html,2,27,131
Lamar Patterson,Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/draft.html,2,40,435
Cameron Bairstow,Chicago Bulls,https://www.basketball-reference.com/teams/CHI/draft.html,2,36,167
Thanasis Antetokounmpo,New York Knicks,https://www.basketball-reference.com/teams/NYK/draft.html,2,22,135
Semaj Christon,Miami Heat,https://www.basketball-reference.com/teams/MIA/draft.html,1,64,973
Devyn Marble,Denver Nuggets,https://www.basketball-reference.com/teams/DEN/draft.html,2,44,457
Jordan McRae,San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/draft.html,4,123,1696
Cory Jefferson,San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/draft.html,2,58,581